~/timefields/open-experiments/slingtests/osgikernel/testscripts/SlingRuby/kerns ~/timefields/open-experiments/slingtests/osgikernel
kern-254.rb 1 tests, 5 assertions, 0 failures, 0 errors
kern-259.rb 1 tests, 10 assertions, 0 failures, 0 errors
kern-270.rb 1 tests, 3 assertions, 0 failures, 0 errors
kern-275.rb 3 tests, 12 assertions, 0 failures, 0 errors
kern-277.rb 3 tests, 22 assertions, 0 failures, 0 errors
kern-280.rb 1 tests, 2 assertions, 0 failures, 0 errors
kern-284.rb 2 tests, 10 assertions, 0 failures, 0 errors
kern-288.rb 1 tests, 5 assertions, 0 failures, 0 errors
kern-289.rb 1 tests, 7 assertions, 0 failures, 0 errors
kern-292.rb 3 tests, 24 assertions, 0 failures, 0 errors
kern-293.rb 1 tests, 5 assertions, 0 failures, 0 errors
kern-294.rb 2 tests, 4 assertions, 0 failures, 0 errors
kern-296.rb 1 tests, 7 assertions, 0 failures, 0 errors
kern-307.rb 2 tests, 18 assertions, 0 failures, 0 errors
kern-308.rb 2 tests, 17 assertions, 0 failures, 0 errors
kern-309.rb 1 tests, 10 assertions, 0 failures, 0 errors
kern-310.rb 1 tests, 4 assertions, 0 failures, 0 errors
kern-312.rb 3 tests, 11 assertions, 0 failures, 0 errors
kern-325.rb 1 tests, 2 assertions, 0 failures, 0 errors
kern-330.rb 4 tests, 28 assertions, 0 failures, 0 errors
kern-335.rb 1 tests, 6 assertions, 0 failures, 0 errors
kern-345.rb 3 tests, 41 assertions, 0 failures, 0 errors
kern-356.rb 2 tests, 15 assertions, 0 failures, 0 errors
kern-455.rb 1 tests, 25 assertions, 0 failures, 0 errors
kern-456.rb 1 tests, 4 assertions, 0 failures, 0 errors
kern-483.rb 1 tests, 8 assertions, 0 failures, 0 errors
kern-485.rb 1 tests, 2 assertions, 0 failures, 0 errors
kern-538.rb 4 tests, 32 assertions, 0 failures, 0 errors
kern-543.rb 1 tests, 9 assertions, 0 failures, 0 errors
kern-551.rb 9 tests, 75 assertions, 0 failures, 0 errors
kern-552.rb 1 tests, 3 assertions, 0 failures, 0 errors
kern-563.rb 2 tests, 6 assertions, 0 failures, 0 errors
kern-568.rb 3 tests, 11 assertions, 0 failures, 0 errors
kern-577.rb 1 tests, 14 assertions, 0 failures, 0 errors
kern-637.rb 1 tests, 3 assertions, 0 failures, 0 errors
kern-702.rb 1 tests, 7 assertions, 0 failures, 0 errors
~/timefields/open-experiments/slingtests/osgikernel
~/timefields/open-experiments/slingtests/osgikernel/testscripts/SlingRuby/tests ~/timefields/open-experiments/slingtests/osgikernel
authz-test.rb 4 tests, 212 assertions, 0 failures, 0 errors
contact-test.rb 1 tests, 23 assertions, 0 failures, 0 errors
message-test.rb 1 tests, 45 assertions, 0 failures, 0 errors
node-create-test.rb 5 tests, 36 assertions, 0 failures, 0 errors
owner-authz-test.rb 1 tests, 25 assertions, 0 failures, 0 errors
owner-principal-test.rb 1 tests, 6 assertions, 0 failures, 0 errors
private-store-test.rb 1 tests, 8 assertions, 0 failures, 0 errors
rss-test.rb 4 tests, 4 assertions, 0 failures, 0 errors
sling-search-test.rb 2 tests, 8 assertions, 0 failures, 0 errors
sling-site-test.rb 7 tests, 43 assertions, 0 failures, 0 errors
user-manager-test.rb 5 tests, 12 assertions, 0 failures, 0 errors
~/timefields/open-experiments/slingtests/osgikernel
