"group","sakai:joinable"
"testgroup1","yes"
"testgroup2","yes"
"testgroup3","yes"
"testgroup4","yes"
"testgroup5","yes"
"testgroup6","yes"
"testgroup7","yes"
"testgroup8","yes"
"testgroup9","yes"
"testgroup10","yes"
"testgroup11","yes"
"testgroup12","yes"
"testgroup13","yes"
"testgroup14","yes"
"testgroup15","yes"
"testgroup16","yes"
"testgroup17","yes"
"testgroup18","yes"
"testgroup19","yes"
"testgroup20","yes"
"testgroup21","yes"
"testgroup22","yes"
"testgroup23","yes"
"testgroup24","yes"
"testgroup25","yes"
"testgroup26","yes"
"testgroup27","yes"
"testgroup28","yes"
"testgroup29","yes"
"testgroup30","yes"
"testgroup31","yes"
"testgroup32","yes"
"testgroup33","yes"
"testgroup34","yes"
"testgroup35","yes"
"testgroup36","yes"
"testgroup37","yes"
"testgroup38","yes"
"testgroup39","yes"
"testgroup40","yes"
"testgroup41","yes"
"testgroup42","yes"
"testgroup43","yes"
"testgroup44","yes"
"testgroup45","yes"
"testgroup46","yes"
"testgroup47","yes"
"testgroup48","yes"
"testgroup49","yes"
"testgroup50","yes"
"testgroup51","yes"
"testgroup52","yes"
"testgroup53","yes"
"testgroup54","yes"
"testgroup55","yes"
"testgroup56","yes"
"testgroup57","yes"
"testgroup58","yes"
"testgroup59","yes"
"testgroup60","yes"
"testgroup61","yes"
"testgroup62","yes"
"testgroup63","yes"
"testgroup64","yes"
"testgroup65","yes"
"testgroup66","yes"
"testgroup67","yes"
"testgroup68","yes"
"testgroup69","yes"
"testgroup70","yes"
"testgroup71","yes"
"testgroup72","yes"
"testgroup73","yes"
"testgroup74","yes"
"testgroup75","yes"
"testgroup76","yes"
"testgroup77","yes"
"testgroup78","yes"
"testgroup79","yes"
"testgroup80","yes"
"testgroup81","yes"
"testgroup82","yes"
"testgroup83","yes"
"testgroup84","yes"
"testgroup85","yes"
"testgroup86","yes"
"testgroup87","yes"
"testgroup88","yes"
"testgroup89","yes"
"testgroup90","yes"
"testgroup91","yes"
"testgroup92","yes"
"testgroup93","yes"
"testgroup94","yes"
"testgroup95","yes"
"testgroup96","yes"
