"site","sakai:joinable"
"testsite1","yes"
"testsite2","yes"
"testsite3","yes"
"testsite4","yes"
"testsite5","yes"
"testsite6","yes"
"testsite7","yes"
"testsite8","yes"
"testsite9","yes"
"testsite10","yes"
"testsite11","yes"
"testsite12","yes"
"testsite13","yes"
"testsite14","yes"
"testsite15","yes"
"testsite16","yes"
"testsite17","yes"
"testsite18","yes"
"testsite19","yes"
"testsite20","yes"
"testsite21","yes"
"testsite22","yes"
"testsite23","yes"
"testsite24","yes"
"testsite25","yes"
"testsite26","yes"
"testsite27","yes"
"testsite28","yes"
"testsite29","yes"
"testsite30","yes"
"testsite31","yes"
"testsite32","yes"
"testsite33","yes"
"testsite34","yes"
"testsite35","yes"
"testsite36","yes"
"testsite37","yes"
"testsite38","yes"
"testsite39","yes"
"testsite40","yes"
"testsite41","yes"
"testsite42","yes"
"testsite43","yes"
"testsite44","yes"
"testsite45","yes"
"testsite46","yes"
"testsite47","yes"
"testsite48","yes"
"testsite49","yes"
"testsite50","yes"
"testsite51","yes"
"testsite52","yes"
"testsite53","yes"
"testsite54","yes"
"testsite55","yes"
"testsite56","yes"
"testsite57","yes"
"testsite58","yes"
"testsite59","yes"
"testsite60","yes"
"testsite61","yes"
"testsite62","yes"
"testsite63","yes"
"testsite64","yes"
"testsite65","yes"
"testsite66","yes"
"testsite67","yes"
"testsite68","yes"
"testsite69","yes"
"testsite70","yes"
"testsite71","yes"
"testsite72","yes"
"testsite73","yes"
"testsite74","yes"
"testsite75","yes"
"testsite76","yes"
"testsite77","yes"
"testsite78","yes"
"testsite79","yes"
"testsite80","yes"
"testsite81","yes"
"testsite82","yes"
"testsite83","yes"
"testsite84","yes"
"testsite85","yes"
"testsite86","yes"
"testsite87","yes"
"testsite88","yes"
"testsite89","yes"
"testsite90","yes"
"testsite91","yes"
"testsite92","yes"
"testsite93","yes"
"testsite94","yes"
"testsite95","yes"
"testsite96","yes"
"testsite97","yes"
"testsite98","yes"
"testsite99","yes"
"testsite100","yes"
"testsite101","yes"
"testsite102","yes"
"testsite103","yes"
"testsite104","yes"
"testsite105","yes"
"testsite106","yes"
"testsite107","yes"
"testsite108","yes"
"testsite109","yes"
"testsite110","yes"
"testsite111","yes"
"testsite112","yes"
